family	area	subsistence
Vilela	South America	HG
Wadjiginy	Australia	HG
Wageman	Australia	HG
Wakashan	North America	HG-FISH
Walioic	Papunesia	HG-SED
Waorani	South America	HG
Warao	South America	HG
Washo	North America	HG
WestBird'sHead	Papunesia	AGR
WestBomberai	Papunesia	AGR
WesternDaly	Australia	HG
WesternTasmanian	Australia	HG
Wintuan	North America	HG
Wiru	Papunesia	AGR
Worrorran	Australia	HG
Xincan	North America	AGR
Xukurú	South America	HG
Yale	Papunesia	HG-SAGO
Yam	Papunesia	AGR
Yana	North America	HG
Yangmanic	Australia	HG
Yanomamic	South America	HG
Yareban	Papunesia	AGR
Yawa-Saweru	Papunesia	AGR
Yele	Papunesia	AGR
Yeniseian	Eurasia	HG
Yerakai	Papunesia	HG-SAGO
Yetfa	Papunesia	HG-SAGO
Yokutsan	North America	HG-FISH
Yuat	Papunesia	HG-SAGO
Yuchi	North America	AGR
Yukaghir	Eurasia	HG
Yuki-Wappo	North America	HG
Yuracaré	South America	AGR
Yurumanguí	South America	AGR
Yámana	South America	HG
Zamucoan	South America	HG
Zaparoan	South America	AGR
Zuni	North America	AGR
