mo	pairs_mo	BP_mo	lat_mo	lon_mo	Ntaxa_mo	method_mo	da	pairs_da	BP_da	lat_da	lon_da	Ntaxa_da	method_da	err_home_mo	err_home_da	distance	speed	area	subsistence	bearing	biome4	biome4_names	perc_b4	biome98	biome98_names	perc_b98	altitude	rugosity	npp
Afro-Asiatic,Chadic,WestChadic,WestChadicB	131	4577	10.80561	13.58257	38	BT	Afro-Asiatic,Chadic,WestChadic,WestChadicB,WestChadicB.3	24	2677	9.980012	10.5881	23	BT	92	105	340.507167281907	0.179	Africa	AGR	EW	13	Tropical xerophytic shrubland	52.8	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	464.89	87.94	591.39
Afro-Asiatic,Chadic,WestChadic,WestChadicA	239	3713	9.84584	12.2983	46	BT	Afro-Asiatic,Chadic,WestChadic,WestChadicA,WestChadicA.4	10	2764	10.79033	10.55004	8	BT	192	83	218.434241414726	0.23	Africa	AGR	EW	12	Tropical savanna	70.8	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	368.1	131.98	650.5
Afro-Asiatic,Chadic,WestChadic,WestChadicA	239	3713	9.84584	12.2983	46	BT	Afro-Asiatic,Chadic,WestChadic,WestChadicA,WestChadicA.1	1	1451	12.50963	11.76864	2	BT	192	77	302.119540630817	0.134	Africa	AGR	NS	12	Tropical savanna	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	337.74	165.11	659.69
Afro-Asiatic,Chadic,Biu-Mandara,NorthBiu-Mandara,Higic	3	1929	10.75932	15.62924	5	BT	Afro-Asiatic,Chadic,Biu-Mandara,NorthBiu-Mandara,Higic,Nkafa-Kirya-Bana	2	1584	9.979233	14.79457	3	BT	82	85	126.07283654862	0.365	Africa	AGR	EW	12	Tropical savanna	53.3	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	319.77	6.1	497
Afro-Asiatic,Chadic,Biu-Mandara,SouthBiu-Mandara,Teraic	6	2589	10.87324	14.05593	5	BT	Afro-Asiatic,Chadic,Biu-Mandara,SouthBiu-Mandara,Teraic,EasternTera	3	1589	7.579962	12.64502	3	BT	101	83	398.028916646169	0.398	Africa	AGR	NS	13	Tropical xerophytic shrubland	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	558.65	111.99	537.02
Afro-Asiatic,Chadic,Biu-Mandara,NorthBiu-Mandara,Margi-Mandara-Mofu	176	3699	10.94251	15.86486	25	BT	Afro-Asiatic,Chadic,Biu-Mandara,NorthBiu-Mandara,Margi-Mandara-Mofu,Bura-Marghi	12	1705	10.8697	16.44725	7	BT	104	83	64.1742925184877	0.032	Africa	AGR	EW	12	Tropical savanna	75	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	328.07	3.08	622
Afro-Asiatic,Chadic,Biu-Mandara,NorthBiu-Mandara,Margi-Mandara-Mofu	176	3699	10.94251	15.86486	25	BT	Afro-Asiatic,Chadic,Biu-Mandara,NorthBiu-Mandara,Margi-Mandara-Mofu,Mandaraic	20	2358	11.28264	12.86996	9	BT	104	86	329.321733062645	0.246	Africa	AGR	EW	13	Tropical xerophytic shrubland	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	439.27	69.73	542.69
Afro-Asiatic,Chadic,Biu-Mandara,SouthBiu-Mandara,Matakam	2	1972	11.88545	15.44376	3	BT	Afro-Asiatic,Chadic,Biu-Mandara,SouthBiu-Mandara,Matakam,Mefele-Cuvok	1	1410	10.38459	15.41185	2	BT	84	77	167.111318277439	0.297	Africa	AGR	NS	13	Tropical xerophytic shrubland	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	300.58	3	446
Afro-Asiatic,Chadic,Biu-Mandara,SouthBiu-Mandara,Dabaic	9	1650	10.0763	15.89668	6	BT	Afro-Asiatic,Chadic,Biu-Mandara,SouthBiu-Mandara,Dabaic,Daba-Mazagway-Kola	1	1001	11.16601	15.62173	2	BT	79	77	124.980349534832	0.193	Africa	AGR	NS	12	Tropical savanna	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	331.58	3.65	582
Afro-Asiatic,Chadic,Biu-Mandara,NorthBiu-Mandara,Margi-Mandara-Mofu	176	3699	10.94251	15.86486	25	BT	Afro-Asiatic,Chadic,Biu-Mandara,NorthBiu-Mandara,Margi-Mandara-Mofu,Mofuic	21	2378	10.21162	13.67223	9	BT	104	85	253.35279401711	0.192	Africa	AGR	EW	13	Tropical xerophytic shrubland	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	412.8	57.02	533.48
Afro-Asiatic,Chadic,Biu-Mandara,SouthBiu-Mandara,Bataic	15	3195	10.5299	14.32662	12	BT	Afro-Asiatic,Chadic,Biu-Mandara,SouthBiu-Mandara,Bataic,Gudeic	14	2519	10.251	13.5258	8	MD	104	89	93.0191145249043	0.138	Africa	AGR	EW	13	Tropical xerophytic shrubland	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	603.05	149.67	536.09
Afro-Asiatic,Chadic,Biu-Mandara,SouthBiu-Mandara,Teraic	6	2589	10.87324	14.05593	5	BT	Afro-Asiatic,Chadic,Biu-Mandara,SouthBiu-Mandara,Teraic,WesternTera	1	1818	10.37134	14.23747	2	BT	101	77	59.2968657028475	0.077	Africa	AGR	NS	13	Tropical xerophytic shrubland	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	470.46	119.58	472
Afro-Asiatic,Chadic,EastChadic,EastChadicB,EastChadicB.1	24	2601	13.41709	18.39877	12	BT	Afro-Asiatic,Chadic,EastChadic,EastChadicB,EastChadicB.1,Dangla-Mabire-Birgit	11	1779	9.96686	17.62678	8	BT	88	103	393.18614087195	0.478	Africa	AGR	NS	13	Tropical xerophytic shrubland	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	317.76	6.27	260.44
Afro-Asiatic,Chadic,EastChadic,EastChadicB,EastChadicB.1	24	2601	13.41709	18.39877	12	BT	Afro-Asiatic,Chadic,EastChadic,EastChadicB,EastChadicB.1,Mubic	6	1257	13.88621	17.8243	4	BT	88	116	81.1719687237584	0.06	Africa	AGR	EW	13	Tropical xerophytic shrubland	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	323.51	6.17	259.5
Afro-Asiatic,Cushitic,EastCushitic,HighlandEastCushitic,Sidaama-Hadiyya-Kambaata	8	1219	8.9237	36.36538	6	BT	Afro-Asiatic,Cushitic,EastCushitic,HighlandEastCushitic,Sidaama-Hadiyya-Kambaata,Hadiyya-Kambaata	4	1207	8.782911	36.24083	4	BT	109	89	20.8160870840236	1.735	Africa	AGR	NS	3	Tropical deciduous forest/woodland	100	100	Sea	50	1687.64	305.19	761
Afro-Asiatic,Cushitic,EastCushitic,HighlandEastCushitic,Sidaama-Hadiyya-Kambaata	8	1219	8.9237	36.36538	6	BT	Afro-Asiatic,Cushitic,EastCushitic,HighlandEastCushitic,Sidaama-Hadiyya-Kambaata,Sidaama-Gedeo	1	715	5.914584	37.26707	2	BT	109	77	349.445234121605	0.693	Africa	AGR	NS	3	Tropical deciduous forest/woodland	70.3	1	Tropical & Subtropical Moist Broadleaf Forests 	86.5	1723.94	265.02	759
Afro-Asiatic,Cushitic,EastCushitic,LowlandEastCushitic,SouthernLowlandEastCushitic	54	3672	5.39111	37.53	24	MD	Afro-Asiatic,Cushitic,EastCushitic,LowlandEastCushitic,SouthernLowlandEastCushitic,MainstreamLowlandEastCushitic	80	2736	8.628014	35.61544	21	BT	272	305	417.818831338862	0.446	Africa	AGR	NS	13	Tropical xerophytic shrubland	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	88.6	842.69	268.42	331.25
Afro-Asiatic,Semitic,WestSemitic,Ethiosemitic,SouthEthiopic	36	2063	13.43074	35.943	12	BT	Afro-Asiatic,Semitic,WestSemitic,Ethiosemitic,SouthEthiopic,Amharic-Argobba	1	1467	12.9336	38.81354	2	BT	180	77	316.007740306786	0.53	Africa	AGR	EW	13	Tropical xerophytic shrubland	82.4	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	58.8	1458.84	377.27	456.65
